bank_name,keyword,tfidf_score
Bank of Abyssinia,good,0.12116906749240035
Bank of Abyssinia,app,0.08252034769893879
Bank of Abyssinia,best,0.04002880091124183
Bank of Abyssinia,nice,0.02897897490976221
Bank of Abyssinia,boa,0.026398553732301846
Bank of Abyssinia,bank,0.026040099320196273
Bank of Abyssinia,work,0.02010873899965664
Bank of Abyssinia,working,0.020016619405265727
Bank of Abyssinia,great,0.018178858494353675
Bank of Abyssinia,like,0.01809495722995069
Bank of Abyssinia,mobile,0.01728924128176191
Bank of Abyssinia,worst,0.017188400419122382
Bank of Abyssinia,use,0.016789000052972108
Bank of Abyssinia,banking,0.01570391133764835
Bank of Abyssinia,doesn,0.01552423892498583
Commercial Bank of Ethiopia,good,0.1621164287086091
Commercial Bank of Ethiopia,app,0.08312868116922668
Commercial Bank of Ethiopia,best,0.04875904316129631
Commercial Bank of Ethiopia,nice,0.04383268067219188
Commercial Bank of Ethiopia,good app,0.03012153352381509
Commercial Bank of Ethiopia,cbe,0.027606077268244638
Commercial Bank of Ethiopia,bank,0.02284179702741731
Commercial Bank of Ethiopia,excellent,0.022539824492594254
Commercial Bank of Ethiopia,ok,0.01889527658463764
Commercial Bank of Ethiopia,like,0.017233030585065978
Commercial Bank of Ethiopia,application,0.01518932596266438
Commercial Bank of Ethiopia,update,0.01390247596181199
Commercial Bank of Ethiopia,nice app,0.013726998684078747
Commercial Bank of Ethiopia,best app,0.012912412105209064
Commercial Bank of Ethiopia,bad,0.011014945245486093
Dashen Bank,good,0.08996739658259396
Dashen Bank,app,0.08798132354980069
Dashen Bank,best,0.0476307881316935
Dashen Bank,nice,0.03969122997968323
Dashen Bank,wow,0.03207976865491601
Dashen Bank,bank,0.029607350103088143
Dashen Bank,dashen,0.027885722538087597
Dashen Bank,super,0.026691938833675627
Dashen Bank,fast,0.023232076153737524
Dashen Bank,banking,0.02205040039648802
Dashen Bank,amazing,0.02183963171803827
Dashen Bank,easy,0.019561454676471662
Dashen Bank,ok,0.01848049281314168
Dashen Bank,super app,0.01742691671780427
Dashen Bank,dashen bank,0.0171731344596008
